,id,rem_diz,rem_evro,rem_kosm,rooms_size,balcony,logia,dvor_view,street_view,merged_toilet,split_toilet,kids_allowed,pets_allowed,furn_in_rooms,furn_at_kitchen,bath,shower,washing,aircon,dishwaser,tv,freezer,internet,phone,ceiling_height,pass_lift,gruz_lift,trashprovod,link
5611,273260470,0.0,0.0,1.0,38.0,0,0,1,1,0,1,1,1,1,1,1,0,1,0,0,1,1,1,0,2.64,2,1,1,https://www.cian.ru/rent/flat/273260470
5612,262130613,0.0,0.0,1.0,46.9,1,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/262130613
5613,274505176,0.0,1.0,0.0,36.0,0,1,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0,2.64,1,0,0,https://www.cian.ru/rent/flat/274505176
5614,274758281,0.0,1.0,0.0,32.0,1,0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/274758281
5615,274244953,0.0,0.0,1.0,25.9,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2.64,1,1,1,https://www.cian.ru/rent/flat/274244953
5616,273446754,0.0,0.0,1.0,30.099999999999998,1,0,1,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,2.64,1,0,1,https://www.cian.ru/rent/flat/273446754
5617,272213159,0.0,0.0,1.0,33.0,0,1,0,1,0,1,1,1,1,1,1,0,1,1,1,0,1,1,0,2.7,2,0,1,https://www.cian.ru/rent/flat/272213159
5618,274924204,0.0,1.0,0.0,33.0,1,0,1,0,1,0,0,0,1,1,1,0,1,1,0,0,1,0,0,2.64,1,0,1,https://www.cian.ru/rent/flat/274924204
5619,273660680,0.0,0.0,1.0,52.5,0,0,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/273660680
5620,274589938,0.0,1.0,0.0,31.0,0,0,1,0,2,0,1,0,0,1,1,0,1,0,0,0,1,0,0,3.0,1,1,1,https://www.cian.ru/rent/flat/274589938
5621,274295831,0.0,1.0,0.0,35.0,0,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,2.48,2,0,1,https://www.cian.ru/rent/flat/274295831
5622,271631757,0.0,1.0,0.0,32.0,0,1,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/271631757
5623,271105019,0.0,0.0,1.0,38.0,0,1,1,0,0,1,1,1,0,0,1,0,1,0,0,0,0,0,0,2.7,2,0,1,https://www.cian.ru/rent/flat/271105019
5624,272116197,1.0,0.0,0.0,23.099999999999998,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,1,1,0,0,2.8,1,0,1,https://www.cian.ru/rent/flat/272116197
5625,274428013,0.0,0.0,0.0,90.0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2.64,3,0,1,https://www.cian.ru/rent/flat/274428013
5626,274427662,0.0,0.0,0.0,90.0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2.64,3,0,1,https://www.cian.ru/rent/flat/274427662
5627,274428434,0.0,0.0,0.0,87.0,0,1,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,2.64,3,0,1,https://www.cian.ru/rent/flat/274428434
5628,274426411,0.0,0.0,1.0,70.0,0,0,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,0,2.64,1,0,1,https://www.cian.ru/rent/flat/274426411
5629,270392502,0.0,1.0,0.0,37.0,1,0,1,0,0,1,0,0,1,1,1,0,1,0,0,0,1,1,0,2.8,1,0,1,https://www.cian.ru/rent/flat/270392502
5630,274893005,0.0,0.0,1.0,49.0,1,0,1,1,1,1,1,0,0,0,0,0,1,0,1,0,1,0,0,2.8,1,1,1,https://www.cian.ru/rent/flat/274893005
5631,273727460,0.0,1.0,0.0,54.0,0,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1,1,1,0,2.7,2,0,1,https://www.cian.ru/rent/flat/273727460
5632,252623864,1.0,0.0,0.0,44.0,1,0,1,1,0,2,1,0,1,1,1,1,1,0,1,1,1,1,0,2.8,1,1,0,https://www.cian.ru/rent/flat/252623864
5633,273874927,0.0,1.0,0.0,59.0,1,0,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,0,3.1,1,0,0,https://www.cian.ru/rent/flat/273874927
5634,163468970,0.0,1.0,0.0,42.0,0,0,0,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,0,2.8,1,0,1,https://www.cian.ru/rent/flat/163468970
5635,271427280,0.0,0.0,1.0,55.0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,3.0,2,0,1,https://www.cian.ru/rent/flat/271427280
5636,264661601,0.0,0.0,1.0,45.5,0,1,1,0,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0,2.48,2,0,1,https://www.cian.ru/rent/flat/264661601
5637,274641928,1.0,0.0,0.0,35.0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,0,2.8,2,1,1,https://www.cian.ru/rent/flat/274641928
5638,274917269,0.0,0.0,1.0,64.0,0,2,1,0,0,2,1,1,1,1,1,1,1,1,1,1,1,1,0,3.0,1,0,1,https://www.cian.ru/rent/flat/274917269
5639,271908668,1.0,0.0,0.0,25.9,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,1,1,0,0,3.0,2,2,1,https://www.cian.ru/rent/flat/271908668
5640,270353386,1.0,0.0,0.0,43.4,1,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,1,0,0,3.0,2,2,1,https://www.cian.ru/rent/flat/270353386
5641,207858863,0.0,1.0,0.0,101.5,0,0,1,0,2,0,1,0,1,1,1,1,1,1,1,1,1,1,1,3.0,1,0,1,https://www.cian.ru/rent/flat/207858863
5642,270557919,1.0,0.0,0.0,59.0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,1,0,1,1,0,3.0,1,1,1,https://www.cian.ru/rent/flat/270557919
5643,255044385,1.0,0.0,0.0,46.0,0,0,1,0,0,2,1,0,1,1,1,0,1,1,1,1,1,1,0,2.8,2,1,1,https://www.cian.ru/rent/flat/255044385
5644,272894410,1.0,0.0,0.0,56.0,0,1,1,0,1,1,1,0,0,0,0,0,1,1,0,0,0,0,0,3.0,2,2,1,https://www.cian.ru/rent/flat/272894410
5645,272224509,1.0,0.0,0.0,62.99999999999999,1,0,0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,0,0,3.2,2,0,1,https://www.cian.ru/rent/flat/272224509
5646,274773688,1.0,0.0,0.0,16.0,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,1,1,1,0,2.64,2,1,1,https://www.cian.ru/rent/flat/274773688
5647,192567457,0.0,0.0,1.0,21.700000000000003,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,1,1,2.64,1,0,1,https://www.cian.ru/rent/flat/192567457
5648,248537910,0.0,1.0,0.0,23.099999999999998,1,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/248537910
5649,273047021,0.0,0.0,1.0,26.0,1,0,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,2.64,1,0,0,https://www.cian.ru/rent/flat/273047021
5650,274917367,0.0,1.0,0.0,12.6,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,2.64,2,1,0,https://www.cian.ru/rent/flat/274917367
5651,269070370,0.0,0.0,1.0,22.0,1,0,1,0,1,0,1,0,1,1,1,0,1,0,1,1,1,1,0,2.8,1,0,0,https://www.cian.ru/rent/flat/269070370
5652,269858337,0.0,0.0,1.0,20.0,1,1,1,0,1,0,0,0,1,1,1,0,1,0,0,1,1,1,0,2.64,1,0,0,https://www.cian.ru/rent/flat/269858337
5653,274714380,0.0,0.0,1.0,23.0,1,0,1,1,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,2.64,1,0,1,https://www.cian.ru/rent/flat/274714380
5654,274883795,0.0,0.0,1.0,25.0,1,0,1,0,1,0,0,0,1,1,1,0,1,0,0,0,1,0,0,2.64,1,0,1,https://www.cian.ru/rent/flat/274883795
5655,274599949,0.0,0.0,1.0,37.0,0,1,1,0,0,1,1,1,1,1,1,0,1,0,0,1,1,0,0,2.64,2,0,1,https://www.cian.ru/rent/flat/274599949
5656,274506035,0.0,0.0,1.0,12.0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,1,1,0,0,2.64,1,1,0,https://www.cian.ru/rent/flat/274506035
5657,270363479,0.0,0.0,1.0,22.4,1,0,1,0,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,2.48,1,0,0,https://www.cian.ru/rent/flat/270363479
5658,242674672,0.0,0.0,1.0,28.0,1,0,1,0,0,1,1,0,1,1,0,1,1,1,0,1,1,1,0,2.48,1,0,0,https://www.cian.ru/rent/flat/242674672
5659,274422595,0.0,0.0,1.0,32.0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,2.64,2,1,1,https://www.cian.ru/rent/flat/274422595
5660,274744169,0.0,0.0,1.0,28.0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,2.64,1,0,1,https://www.cian.ru/rent/flat/274744169
5661,274642915,0.0,0.0,1.0,26.95,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/274642915
5662,270445262,0.0,1.0,0.0,20.0,0,1,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,2.65,1,1,1,https://www.cian.ru/rent/flat/270445262
5663,274904983,0.0,0.0,1.0,40.0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,3.2,1,0,1,https://www.cian.ru/rent/flat/274904983
5664,270435783,0.0,1.0,0.0,29.0,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,2.48,1,0,0,https://www.cian.ru/rent/flat/270435783
5665,274162177,1.0,0.0,0.0,21.0,1,0,1,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,0,2.64,1,0,0,https://www.cian.ru/rent/flat/274162177
5666,234429988,0.0,0.0,1.0,35.0,0,0,1,1,0,1,1,0,1,1,1,0,1,1,0,1,1,1,0,2.8,1,0,0,https://www.cian.ru/rent/flat/234429988
5667,272676238,0.0,1.0,0.0,46.0,0,0,0,1,0,1,1,0,1,1,0,1,1,0,0,1,1,0,0,2.8,1,0,1,https://www.cian.ru/rent/flat/272676238
5668,273039381,1.0,0.0,0.0,49.0,0,0,1,1,1,2,1,0,1,1,1,0,1,1,1,1,1,1,1,3.0,2,1,0,https://www.cian.ru/rent/flat/273039381
5669,272214249,0.0,1.0,0.0,68.0,1,0,1,0,0,1,1,0,1,1,1,0,1,1,1,1,1,0,0,2.8,1,0,1,https://www.cian.ru/rent/flat/272214249
5670,271888406,0.0,1.0,0.0,61.0,0,0,1,0,1,1,1,0,1,1,1,0,1,1,0,1,1,1,0,3.0,3,0,1,https://www.cian.ru/rent/flat/271888406
5671,272214395,1.0,0.0,0.0,38.0,1,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,1,3.0,2,0,1,https://www.cian.ru/rent/flat/272214395
5672,245372497,0.0,1.0,0.0,33.6,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,0,0,2.64,3,0,1,https://www.cian.ru/rent/flat/245372497
5673,274925199,0.0,1.0,0.0,13.299999999999999,0,0,0,1,1,0,1,0,1,1,0,1,1,0,0,1,1,0,0,2.64,2,1,1,https://www.cian.ru/rent/flat/274925199
5674,274937718,0.0,1.0,0.0,13.0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,1,1,1,1,2.64,2,2,1,https://www.cian.ru/rent/flat/274937718
5675,274530880,0.0,1.0,0.0,40.0,0,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1,1,1,2.8,2,1,1,https://www.cian.ru/rent/flat/274530880
5676,274517044,0.0,1.0,0.0,28.0,0,1,1,0,1,0,1,1,1,1,1,0,1,1,0,1,1,1,1,2.64,2,2,1,https://www.cian.ru/rent/flat/274517044
5677,274703846,0.0,1.0,0.0,19.0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,1,1,1,1,1,2.64,2,1,1,https://www.cian.ru/rent/flat/274703846
5678,274938096,0.0,1.0,0.0,42.0,0,0,1,0,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,2.64,2,1,1,https://www.cian.ru/rent/flat/274938096
5679,274850533,0.0,1.0,0.0,25.0,0,0,1,0,1,0,1,0,1,1,1,0,1,1,0,0,1,1,1,2.64,2,1,1,https://www.cian.ru/rent/flat/274850533
5680,274965846,1.0,0.0,0.0,12.0,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,1,2.64,1,1,1,https://www.cian.ru/rent/flat/274965846
5681,272928286,1.0,0.0,0.0,24.0,0,0,1,0,1,0,1,0,1,0,0,1,1,1,1,1,1,0,0,2.8,2,1,1,https://www.cian.ru/rent/flat/272928286
5682,228524680,1.0,0.0,0.0,8.399999999999999,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,0,1,1,0,2.64,1,0,1,https://www.cian.ru/rent/flat/228524680
5683,274998537,0.0,1.0,0.0,35.0,1,0,1,0,0,1,1,1,1,1,1,0,1,1,0,1,1,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/274998537
5684,274815904,0.0,1.0,0.0,11.2,0,0,1,0,1,0,1,1,1,1,0,0,1,0,1,0,1,0,0,2.5,0,4,1,https://www.cian.ru/rent/flat/274815904
5685,273280595,0.0,1.0,0.0,30.0,1,0,1,1,0,2,0,0,1,1,1,0,1,1,0,0,1,1,0,2.64,1,1,1,https://www.cian.ru/rent/flat/273280595
5686,271857757,1.0,0.0,0.0,24.5,0,0,1,0,1,0,0,0,1,1,1,0,1,1,0,1,1,1,0,2.9,2,2,0,https://www.cian.ru/rent/flat/271857757
5687,274799430,0.0,1.0,0.0,33.0,0,0,1,1,1,0,0,0,1,1,1,0,1,1,1,1,1,1,1,2.8,2,1,1,https://www.cian.ru/rent/flat/274799430
5688,271083375,1.0,0.0,0.0,107.0,0,0,1,1,3,0,1,1,1,1,1,1,1,1,1,1,1,1,0,3.0,1,1,0,https://www.cian.ru/rent/flat/271083375
5689,275005162,1.0,0.0,0.0,18.2,0,0,1,0,1,0,0,0,1,1,0,1,1,1,1,1,1,1,0,2.8,2,1,1,https://www.cian.ru/rent/flat/275005162
5690,274663980,0.0,0.0,1.0,16.0,0,0,1,0,0,1,1,0,1,1,1,0,1,0,0,1,1,1,0,2.64,1,0,0,https://www.cian.ru/rent/flat/274663980
5691,274875915,0.0,0.0,1.0,18.0,0,0,1,0,1,0,1,0,1,1,1,0,1,0,0,1,1,1,0,2.48,1,1,1,https://www.cian.ru/rent/flat/274875915
5692,274920767,0.0,0.0,1.0,24.0,1,1,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1,1,1,2.64,1,0,0,https://www.cian.ru/rent/flat/274920767
5693,273498754,0.0,1.0,0.0,28.0,0,0,1,1,0,2,1,1,1,1,1,0,1,0,0,0,1,1,0,2.64,3,3,1,https://www.cian.ru/rent/flat/273498754
5694,274725704,0.0,1.0,0.0,12.5,0,0,1,0,1,0,1,0,1,1,0,1,1,1,1,0,1,1,0,2.64,2,1,1,https://www.cian.ru/rent/flat/274725704
5695,274856009,0.0,1.0,0.0,35.0,0,0,0,1,1,0,1,0,1,1,0,1,1,1,1,1,1,1,0,2.8,2,1,1,https://www.cian.ru/rent/flat/274856009
5696,274969232,0.0,0.0,1.0,32.0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,0,3.0,2,0,1,https://www.cian.ru/rent/flat/274969232
5697,274780988,0.0,0.0,1.0,28.0,0,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,1,0,0,2.64,2,0,1,https://www.cian.ru/rent/flat/274780988
5698,274993846,0.0,0.0,1.0,19.599999999999998,0,0,1,0,1,0,1,1,1,1,0,1,1,0,0,0,1,1,0,2.64,2,1,1,https://www.cian.ru/rent/flat/274993846
5699,274592067,0.0,0.0,1.0,30.0,0,1,1,0,0,1,1,0,1,1,1,0,1,0,0,0,1,1,1,2.64,1,0,1,https://www.cian.ru/rent/flat/274592067
5700,274654859,0.0,1.0,0.0,32.9,0,0,1,0,0,1,1,0,1,0,0,1,1,0,0,0,0,1,0,2.64,2,0,1,https://www.cian.ru/rent/flat/274654859
5701,197135336,0.0,0.0,1.0,16.0,0,0,1,0,1,0,1,1,1,1,1,0,1,0,0,0,1,1,0,2.64,1,0,0,https://www.cian.ru/rent/flat/197135336
